Mes,Día,Week_Day,Bebida,Volumen
enero,1,Domingo,Coca-Cola,1350
enero,1,Domingo,Café,200
enero,2,Lunes,Café,800
enero,2,Lunes,Agua,800
enero,2,Lunes,Coca-Cola,535
enero,2,Lunes,Jugo,200
enero,3,Martes,Café,650
enero,3,Martes,Coca-Cola,450
enero,3,Martes,Agua,450
enero,3,Martes,Nestea,250
enero,4,Miércoles,Cerveza,1300
enero,4,Miércoles,Café,400
enero,4,Miércoles,Agua,350
enero,4,Miércoles,Coca-Cola,250
enero,4,Miércoles,Jugo,200
enero,4,Miércoles,Vino,150
enero,5,Jueves,Café,700
enero,5,Jueves,Agua,500
enero,5,Jueves,Coca-Cola,235
enero,5,Jueves,Jugo,200
enero,5,Jueves,Cerveza,2400
enero,6,Viernes,Coca-Cola,935
enero,6,Viernes,Café,200
enero,6,Viernes,Agua,550
enero,6,Viernes,Chocolate,250
enero,7,Sábado,Café,150
enero,7,Sábado,Coca-Cola,350
enero,7,Sábado,Cerveza,1385
enero,7,Sábado,Agua,330
enero,8,Domingo,Mezcal,335
enero,8,Domingo,Agua,1100
enero,8,Domingo,Cerveza,3535
enero,9,Lunes,Agua,300
